rosbagTimestamp,stamp_obs_update,secs,nsecs,real_obs_received,mapped_observation_pomdp,mapped_observation_raw
1565017213476952186,,1565017213,469230405,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565017215265302985,,1565017215,257479958,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017216663565816,,1565017216,649764618,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1565017218242405652,,1565017218,235104282,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017220761940272,,1565017219,747348856,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565017222178748815,,1565017222,172096986,"[0, 1, 1, 0, 0, 0, 0, 1]",12,39
1565017223618445514,,1565017223,611296507,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017225220789584,,1565017225,212935775,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565017227092380605,,1565017227,86370875,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017228434262128,,1565017228,420159673,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1565017230096898308,,1565017230,89949346,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017233944734181,,1565017233,933524816,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565017235376440235,,1565017235,349368415,"[0, 1, 1, 0, 0, 0, 0, 1]",12,39
1565017237824523172,,1565017237,817526694,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017239355141021,,1565017239,348053936,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017242397307446,,1565017242,390109219,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017246800459524,,1565017246,793427872,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565017248221672081,,1565017248,215285427,"[0, 1, 1, 0, 0, 0, 0, 1]",12,39
1565017250753545850,,1565017250,746609396,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017252270179581,,1565017252,259656931,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017260199486957,,1565017260,192539091,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565017261642963349,,1565017261,635197063,"[0, 1, 1, 0, 0, 0, 0, 1]",12,39
1565017264128227084,,1565017264,121017547,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017265649454789,,1565017265,641018867,"[1, 1, 0, 0, 0, 1, 0, 0]",8,34
1565017267576291930,,1565017267,568697050,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017270675732237,,1565017270,668601989,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017275715761460,,1565017275,708706015,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017277230236786,,1565017277,223320695,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017291655103525,,1565017291,647774693,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017293213034644,,1565017293,205351829,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565017294617959684,,1565017294,611102362,"[0, 1, 1, 0, 0, 0, 0, 1]",12,39
1565017296073423533,,1565017296,67262898,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017298764431732,,1565017298,757468752,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017300308620550,,1565017300,301574662,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1565017301840506540,,1565017301,833006258,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017303809159629,,1565017303,802851567,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1565017311233974201,,1565017311,226694190,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1565017312639664072,,1565017312,632950945,"[0, 1, 0, 1, 0, 1, 0, 1]",10,43
