rosbagTimestamp,task_id,subtask_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count_subtask,real_obs_received,real_obs_received_array,obs_with_noise,human_observables,mapped_observation_pomdp,mapped_observation_raw,robot_model,immediate_reward,total_disc_reward,robot_belief,tray_update_received_time,secs,nsecs,subtask_status,who_succeeded_subtask,subtask_duration,failed_subtasks,successful_subtasks,percentage_successful_subtasks,task_status,task_duration,who_succeeded_task,warnings_count_task,successful_tasks_cnt,failed_tasks_cnt,percentage_successful_tasks
1565017905133777412,12,0,0,"""MANAGER""",,1565017905,133592360,'',,0,0,'','','',False,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",'','',[],,0,0,'','',0.0,0,0,0.0,"""START""",0.0,'',0,0,0,0.0
1565017907254177933,12,0,1,"""OBSERVATION""",,1565017907,247009831,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1565017909671608767,12,0,1,"""ROBOT""",,1565017909,654303939,'',,1565017908,539792363,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""0.000000""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1565017909691797431,12,0,2,"""OBSERVATION""",,1565017909,685953910,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1565017911044702985,12,0,2,"""ROBOT""",,1565017911,25555000,'',,1565017911,9540034,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""0.000000""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1565017911084145436,12,0,3,"""OBSERVATION""",,1565017911,77270525,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 1]",'',"[True, False, False, True, False, True]",12,39,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1565017912437267231,12,1,3,"""SENSOR""",,1565017912,437145068,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""0.000000""",[],,1565017911,55324774,"""success""","""HUMAN""",5.915924529,0,1,100.0,'',5.915924529,'',0,0,0,nan
1565017912739426446,12,0,3,"""ROBOT""",,1565017912,725894226,'',,1565017912,415864166,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""6.000000""","""5.647152""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1565017912771100902,12,0,4,"""OBSERVATION""",,1565017912,761705893,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1565017915582958357,12,0,4,"""ROBOT""",,1565017915,571602395,'',,1565017914,120533279,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""5.647152""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1565017915602223791,12,0,5,"""OBSERVATION""",,1565017915,596563790,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1565017917053011820,12,0,5,"""ROBOT""",,1565017917,42087937,'',,1565017916,940377651,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""5.647152""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1565017917073146225,12,0,6,"""OBSERVATION""",,1565017917,67428744,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1565017918456065129,12,0,7,"""OBSERVATION""",,1565017918,449920059,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 1]",'',"[True, False, False, True, False, True]",12,39,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1565017919829747650,12,2,7,"""SENSOR""",,1565017919,829552296,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""5.647152""",[],,1565017918,433095355,"""success""","""HUMAN""",7.38164188,0,2,100.0,'',13.297566409,'',0,0,0,nan
1565017920104160441,12,0,7,"""ROBOT""",,1565017920,93109407,'',,1565017919,812173620,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""6.000000""","""11.070678""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1565017920125866798,12,0,8,"""OBSERVATION""",,1565017920,119807021,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1565017923181077394,12,0,8,"""ROBOT""",,1565017923,169794605,'',,1565017921,466178443,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""11.070678""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1565017923201802950,12,0,9,"""OBSERVATION""",,1565017923,195559841,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1565017924607551230,12,0,10,"""OBSERVATION""",,1565017924,601390501,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 1]",'',"[True, False, False, True, False, True]",12,39,'','','',[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1565017925992410225,12,3,10,"""SENSOR""",,1565017925,992162255,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""11.070678""",[],,1565017924,586508229,"""success""","""HUMAN""",6.153197617,0,3,100.0,'',19.450764026,'',0,0,0,nan
1565017926174279965,12,0,10,"""ROBOT""",,1565017926,161710188,'',,1565017925,955706946,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""6.000000""","""16.494204""",[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
