rosbagTimestamp,task_id,subtask_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_model,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count_subtask,real_obs_received,real_obs_received_array,obs_with_noise,human_observables,mapped_observation_pomdp,mapped_observation_raw,robot_model,immediate_reward,total_disc_reward,robot_belief,tray_update_received_time,secs,nsecs,subtask_status,who_succeeded_subtask,subtask_duration,failed_subtasks,successful_subtasks,percentage_successful_subtasks,task_status,task_duration,who_succeeded_task,warnings_count_task,successful_tasks_cnt,failed_tasks_cnt,percentage_successful_tasks
1.56535989417603E+018,1,0,1,"""ROBOT""",,1565359894,157658124,'',,1565359890,897844967,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,0.0,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.5653598955083E+018,1,0,2,"""ROBOT""",,1565359895,497237075,'',,1565359895,484405542,"""planning for grasping""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,0.0,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56535989802416E+018,1,0,3,"""ROBOT""",,1565359896,991786647,'',,1565359896,979178492,"""planning for grasping""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,0.0,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56535989952749E+018,1,0,4,"""ROBOT""",,1565359899,515916222,'',,1565359899,404286600,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",6,4.804388104498775,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56535990101306E+018,1,0,5,"""ROBOT""",,1565359901,339269,'',,1565359900,870274812,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,4.804388104498775,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56535990264203E+018,1,0,6,"""ROBOT""",,1565359902,629827621,'',,1565359902,376001883,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,4.804388104498775,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56535990264203E+018,1,0,7,"""ROBOT""",,1565359902,629827621,'',,1565359902,376001883,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,4.804388104498775,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56535990567717E+018,1,0,8,"""ROBOT""",,1565359905,666029494,'',,1565359905,363636729,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",6,10.227912885298775,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56535990772653E+018,1,0,9,"""ROBOT""",,1565359907,714793198,'',,1565359907,35303885,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,10.227912885298775,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56535990918935E+018,1,0,10,"""ROBOT""",,1565359909,177854040,'',,1565359909,60212173,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",0.0,10.227912885298775,[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
