rosbagTimestamp,stamp_obs_update,secs,nsecs,real_obs_received,mapped_observation_pomdp,mapped_observation_raw
1564319927603654522,,1564319927,596197830,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564319930633635369,,1564319930,627646953,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564319932057908896,,1564319932,50724018,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564319933532283798,,1564319933,525904047,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564319934885245124,,1564319934,879156085,"[0, 1, 1, 0, 0, 0, 0, 1]",12,39
1564319936290310717,,1564319936,284543984,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564319938107881477,,1564319938,102373665,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564319939598333414,,1564319939,591950734,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564319942985202159,,1564319942,979119039,"[0, 1, 1, 0, 0, 0, 0, 1]",12,39
1564319944367202594,,1564319944,361318126,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564319946783295715,,1564319946,777133570,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564319949338188606,,1564319949,331665423,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564319950813260007,,1564319950,806605922,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564319952207105026,,1564319952,201243364,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1564319953895015386,,1564319953,888893120,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564319956940157672,,1564319956,933990482,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564319958444899382,,1564319958,438722260,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564319960080263560,,1564319960,74457505,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564319961467465273,,1564319961,461665110,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1564319963082846140,,1564319963,76711653,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564319966099756301,,1564319966,94013226,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564319974675747605,,1564319974,670140652,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564319976205571567,,1564319976,199257620,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564319979134130813,,1564319979,128228038,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564319982070917820,,1564319982,64508406,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564319983548058534,,1564319983,540838091,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564319985854177344,,1564319985,848284504,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1564319987567546287,,1564319987,356544085,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564319989086085178,,1564319989,79027630,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564319990635309041,,1564319990,629290443,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1564319992134514115,,1564319992,128591778,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564319993747846681,,1564319993,741577532,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564319996101750384,,1564319996,95701271,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564319997471337973,,1564319997,465742070,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1564319998916110950,,1564319998,907291052,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564320000410853843,,1564320000,405112724,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564320003390360635,,1564320003,384835628,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564320004848276831,,1564320004,842734974,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564320007879931506,,1564320007,874104461,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564320009361567979,,1564320009,355815090,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564320010840817446,,1564320010,834697099,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564320012220301474,,1564320012,214755069,"[0, 1, 1, 0, 0, 0, 0, 3]",13,23
1564320013632406169,,1564320013,626900867,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564320015368493778,,1564320015,362196317,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564320017807704407,,1564320017,800410197,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564320025684418829,,1564320019,548394648,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564320027048033565,,1564320027,41936933,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1564320028464438593,,1564320028,458572401,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564320029872265164,,1564320029,865667873,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564320031357383766,,1564320031,352604819,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564320032967682885,,1564320032,960767778,"[0, 1, 0, 1, 0, 1, 0, 3]",10,43
