rosbagTimestamp,task_id,subtask_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count_subtask,real_obs_received,real_obs_received_array,obs_with_noise,human_observables,mapped_observation_pomdp,mapped_observation_raw,robot_model,immediate_reward,total_disc_reward,robot_belief,tray_update_received_time,secs,nsecs,subtask_status,who_succeeded_subtask,subtask_duration,failed_subtasks,successful_subtasks,percentage_successful_subtasks,task_status,task_duration,who_succeeded_task,warnings_count_task,successful_tasks_cnt,failed_tasks_cnt,percentage_successful_tasks
1.56440619152933E+018,1,0,0,"""MANAGER""",,1564406191,529187806,'',,0,0,'','','',False,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",'','',[],,0,0,'','',0,0,0,0,"""START""",0,'',0,0,0,0
1.56440619383923E+018,1,0,1,"""OBSERVATION""",,1564406193,832194377,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440619524501E+018,1,0,1,"""ROBOT""",,1564406195,227455147,'',,1564406195,135456512,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""0.000000""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440619526619E+018,1,0,2,"""OBSERVATION""",,1564406195,260119054,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440619659096E+018,1,0,2,"""ROBOT""",,1564406196,580937295,'',,1564406196,559875620,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""0.000000""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440619835081E+018,1,0,3,"""OBSERVATION""",,1564406198,345228318,'',,0,0,'','','',False,0,"""LA:1 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[1, 1, 0, 0, 0, 1, 0, 0]",'',"[True, True, False, False, False, True]",8,34,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440619969641E+018,1,0,3,"""ROBOT""",,1564406199,684790056,'',,1564406199,673798113,"""planning for grasping""","""NoFocus""","""HumanDoingOk""",False,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""0.000000""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440619982277E+018,1,0,4,"""OBSERVATION""",,1564406199,816833475,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440620119634E+018,1,0,4,"""ROBOT""",,1564406201,185913620,'',,1564406201,174465752,"""planning for grasping""","""NotWantHelp""","""NoFocus""",False,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""0.000000""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440620132082E+018,1,0,5,"""OBSERVATION""",,1564406201,314669169,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440620276619E+018,1,0,6,"""OBSERVATION""",,1564406202,759101795,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 1]",'',"[True, False, False, True, False, True]",12,39,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440620414885E+018,1,1,6,"""SENSOR""",,1564406204,148704935,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""0.000000""",[],,1564406202,745147791,"""success""","""HUMAN""",11.211194053,0,1,100,'',11.211194053,'',0,0,0,nan
1.56440620418395E+018,1,0,6,"""ROBOT""",,1564406204,174191469,'',,1564406204,136554354,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""6.000000""","""4.804389""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440620421173E+018,1,0,7,"""OBSERVATION""",,1564406204,204515652,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440620604209E+018,1,0,7,"""ROBOT""",,1564406206,31893198,'',,1564406205,564463085,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""4.804389""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440620606317E+018,1,0,8,"""OBSERVATION""",,1564406206,56580701,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440620753181E+018,1,0,8,"""ROBOT""",,1564406207,521461410,'',,1564406207,425687435,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""4.804389""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440620755219E+018,1,0,9,"""OBSERVATION""",,1564406207,545536565,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440620894564E+018,1,0,10,"""OBSERVATION""",,1564406208,940313849,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 1]",'',"[True, False, False, True, False, True]",12,39,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440621030873E+018,1,2,10,"""SENSOR""",,1564406210,308549631,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""4.804389""",[],,1564406208,927053672,"""success""","""HUMAN""",6.185097517,0,2,100,'',17.39629157,'',0,0,0,nan
1.5644062110378E+018,1,0,10,"""ROBOT""",,1564406211,26861187,'',,1564406210,290990382,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""6.000000""","""10.338598""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440621105948E+018,1,0,11,"""OBSERVATION""",,1564406211,52914348,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440621485375E+018,1,0,11,"""ROBOT""",,1564406214,843217061,'',,1564406212,417411610,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""10.338598""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440621487583E+018,1,0,12,"""OBSERVATION""",,1564406214,868976078,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440621630681E+018,1,0,12,"""ROBOT""",,1564406216,293869917,'',,1564406216,211784225,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""10.338598""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440621632891E+018,1,0,13,"""OBSERVATION""",,1564406216,322295890,'',,0,0,'','','',False,0,"""LA:0 || H.DET:0 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 0, 0, 0, 0, 1, 0, 0]",'',"[False, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440621772743E+018,1,0,14,"""OBSERVATION""",,1564406217,722084538,'',,0,0,'','','',False,0,"""LA:0 || H.DET:0 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 0, 0, 0, 0, 1, 0, 1]",'',"[False, False, False, True, False, True]",12,39,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440621909602E+018,1,3,14,"""SENSOR""",,1564406219,95848842,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""10.338598""",[],,1564406217,709349543,"""success""","""HUMAN""",8.781505694,0,3,100,'',26.177797264,'',0,0,0,nan
1.56440621913419E+018,1,0,14,"""ROBOT""",,1564406219,123381934,'',,1564406219,78817998,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""6.000000""","""15.547352""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440621915458E+018,1,0,15,"""OBSERVATION""",,1564406219,147997658,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440622083668E+018,1,0,15,"""ROBOT""",,1564406220,826016937,'',,1564406220,503267074,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""15.547352""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.5644062208581E+018,1,0,16,"""OBSERVATION""",,1564406220,851517197,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440622382121E+018,1,0,16,"""ROBOT""",,1564406223,811145116,'',,1564406222,218586856,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""15.547352""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440622383978E+018,1,0,17,"""OBSERVATION""",,1564406223,833928191,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440622578921E+018,1,0,17,"""ROBOT""",,1564406225,778932410,'',,1564406225,182010731,"""planning for grasping""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""15.547352""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440622581175E+018,1,0,18,"""OBSERVATION""",,1564406225,805185054,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:1 || SUCCESS:0 || WARN:0 || IDLE:0 || FAIL:0 || SUBTASKST:\","[0, 1, 1, 0, 0, 0, 0, 0]",'',"[True, False, True, False, False, False]",4,7,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440622792444E+018,1,0,18,"""ROBOT""",,1564406227,913595261,'',,1564406227,181008375,"""planning for grasping""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""0.000000""","""15.547352""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440622794574E+018,1,0,19,"""OBSERVATION""",,1564406227,939521865,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 0]",'',"[True, False, False, False, False, True]",9,35,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.5644062293455E+018,1,0,20,"""OBSERVATION""",,1564406229,340487590,'',,0,0,'','','',False,0,"""LA:0 || H.DET:1 || GRASP:0 || SUCCESS:0 || WARN:0 || IDLE:1 || FAIL:0 || SUBTASKST:\","[0, 1, 0, 0, 0, 1, 0, 3]",'',"[True, False, False, True, False, True]",13,23,'','','',[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
1.56440623312394E+018,1,4,20,"""SENSOR""",,1564406233,123691551,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""15.547352""",[],,1564406229,328222759,"""fail""","""HUMAN""",11.619400012,1,3,75,'',37.797197276,'',0,0,0,nan
1.56440623326381E+018,1,0,20,"""ROBOT""",,1564406233,253001474,'',,1564406230,673131544,"""planning for grasping""","""MayNotBeCapable""","""MayNotBeCapable""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""","""-6.000000""","""10.742963""",[],,0,0,'','',0,0,0,0,'',0,'',0,0,0,0
