rosbagTimestamp,task_id,subtask_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count_subtask,real_obs_received,real_obs_received_array,obs_with_noise,human_observables,mapped_observation_pomdp,mapped_observation_raw,robot_model,immediate_reward,total_disc_reward,robot_belief,tray_update_received_time,secs,nsecs,subtask_status,who_succeeded_subtask,subtask_duration,failed_subtasks,successful_subtasks,percentage_successful_subtasks,task_status,task_duration,who_succeeded_task,warnings_count_task,successful_tasks_cnt,failed_tasks_cnt,percentage_successful_tasks
1.56442126536126E+018,1,0,0,"""MANAGER""",,1564421265,360995650,'',,0,0,'','','',False,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",'','',[],,0,0,'','',0,0,0,0,"""START""",0,'',0,0,0,0
1.56442127608286E+018,1,1,4,"""SENSOR""",,1564421276,82675497,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""0.000000""",[],,1564421274,722068009,"""fail""","""HUMAN""",9.359674164,1,0,0,'',9.359674164,'',0,0,0,nan
1.56442128415585E+018,1,2,8,"""SENSOR""",,1564421284,155680925,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-5.104579""",[],,1564421282,780828876,"""fail""","""HUMAN""",8.05860805,2,0,0,'',17.418282214,'',0,0,0,nan
1.5644212869449E+018,1,3,10,"""SENSOR""",,1564421286,944736878,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-10.313333""",[],,1564421285,565164411,"""fail""","""HUMAN""",2.784422394,3,0,0,'',20.202704608,'',0,0,0,nan
1.5644212941126E+018,1,4,15,"""SENSOR""",,1564421294,112442407,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-16.193333""",[],,1564421292,734621585,"""fail""","""HUMAN""",7.169423493,4,0,0,'',27.372128101,'',0,0,0,nan
1.56442129993913E+018,1,5,19,"""SENSOR""",,1564421299,938972924,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-21.508389""",[],,1564421298,542393098,"""success""","""HUMAN""",5.807134106,4,1,20,'',33.179262207,'',0,0,0,nan
1.56442131539331E+018,1,6,23,"""SENSOR""",,1564421315,392981066,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-15.974179""",[],,1564421307,428925310,"""fail""","""HUMAN""",8.887141926,5,1,16.6666666667,'',42.066404133,'',0,0,0,nan
1.56442132418939E+018,1,7,28,"""SENSOR""",,1564421324,189222715,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-21.078758""",[],,1564421322,799221728,"""fail""","""HUMAN""",15.370291064,6,1,14.2857142857,'',57.436695197,'',0,0,0,nan
1.56442133306167E+018,1,8,32,"""SENSOR""",,1564421333,61399223,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-26.287512""",[],,1564421331,542138103,"""fail""","""HUMAN""",8.742943257,7,1,12.5,'',66.179638454,'',0,0,0,nan
1.56442134084235E+018,1,9,36,"""SENSOR""",,1564421340,842233698,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-31.602568""",[],,1564421339,458162111,"""fail""","""HUMAN""",7.916024295,8,1,11.1111111111,'',74.095662749,'',0,0,0,nan
1.56442134939107E+018,1,10,40,"""SENSOR""",,1564421349,390957549,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-36.811321""",[],,1564421347,980861781,"""success""","""HUMAN""",8.522282587,8,2,20,'',82.617945336,'',0,0,1,0
1.56442134939108E+018,1,10,40,"""MANAGER-TASK-DONE""",,1564421349,391017886,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-36.811321""",[],,1564421347,980861781,'','',0,8,2,20,"""fail""",82.617945336,'',0,0,1,0
1.56442146992441E+018,2,0,0,"""MANAGER""",,1564421469,924242356,'',,0,0,'','','',False,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal.pomdpx""",'','',[],,0,0,'','',0,0,0,0,"""START""",0,'',0,0,0,0
1.56442148104641E+018,2,1,4,"""SENSOR""",,1564421481,46274739,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""0.000000""",[],,1564421479,653115806,"""success""","""HUMAN""",9.728021689,0,1,100,'',9.728021689,'',0,0,0,nan
1.56442148755155E+018,2,2,8,"""SENSOR""",,1564421487,551409339,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""5.104579""",[],,1564421486,154058735,"""success""","""HUMAN""",6.499865725,0,2,100,'',16.227887414,'',0,0,0,nan
1.56442149506852E+018,2,3,12,"""SENSOR""",,1564421495,68393720,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""10.528104""",[],,1564421493,675355381,"""success""","""HUMAN""",7.519055945,0,3,100,'',23.746943359,'',0,0,0,nan
1.56442150156477E+018,2,4,16,"""SENSOR""",,1564421501,564666075,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""15.736857""",[],,1564421500,152538534,"""success""","""HUMAN""",6.476440753,0,4,100,'',30.223384112,'',0,0,0,nan
1.56442153990606E+018,2,5,25,"""SENSOR""",,1564421539,905804482,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""21.051912""",[],,1564421539,905417706,"""ROBOT SUCCEEDED""","""ROBOT""",39.75868522,0,5,100,'',69.982069332,'',0,0,0,nan
1.5644215567167E+018,2,6,27,"""SENSOR""",,1564421556,716400043,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""27.051912""",[],,1564421556,716046232,"""ROBOT SUCCEEDED""","""ROBOT""",16.81062628,0,6,100,'',86.792695612,'',0,0,0,nan
