rosbagTimestamp,stamp_obs_update,secs,nsecs,real_obs_received,mapped_observation_pomdp,mapped_observation_raw
1564421268806407281,,1564421268,799735257,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564421271917234321,,1564421271,911079599,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564421273352062241,,1564421273,344851489,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564421274742077775,,1564421274,735076121,"[0, 1, 0, 0, 0, 1, 0, 3]",13,23
1564421276419462185,,1564421276,412392374,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564421278034644716,,1564421278,28713340,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564421281408846029,,1564421281,401686952,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564421282800833501,,1564421282,795119154,"[0, 1, 0, 0, 0, 1, 0, 3]",13,23
1564421284217148912,,1564421284,211089209,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564421285585698328,,1564421285,580039171,"[0, 1, 1, 0, 0, 0, 0, 3]",13,23
1564421286990990505,,1564421286,986005843,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564421288483985669,,1564421288,477514998,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564421289922780098,,1564421289,916978797,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564421291348950674,,1564421291,341946958,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564421292758393024,,1564421292,752479153,"[0, 1, 1, 0, 0, 0, 0, 3]",13,23
1564421294176361197,,1564421294,169883845,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564421295684752128,,1564421295,677968089,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564421297168080340,,1564421297,161570900,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564421298563502366,,1564421298,557824222,"[0, 1, 0, 0, 0, 1, 0, 1]",12,39
1564421300232358777,,1564421300,225509215,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564421303084450678,,1564421303,77934854,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564421306054689457,,1564421306,48255839,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564421307450671649,,1564421307,443880931,"[0, 1, 1, 0, 0, 0, 0, 3]",13,23
1564421315415933609,,1564421315,409247108,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564421316909800586,,1564421316,903136655,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564421319931508842,,1564421319,925778650,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564421321405775278,,1564421321,399142454,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564421322821404681,,1564421322,815098970,"[0, 1, 1, 0, 0, 0, 0, 3]",13,23
1564421324259460313,,1564421324,254046633,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564421325954932020,,1564421325,948187847,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564421330140214117,,1564421330,132454549,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564421331565161157,,1564421331,557639740,"[0, 1, 0, 0, 0, 1, 0, 3]",13,23
1564421333137688540,,1564421333,130626856,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564421335076868109,,1564421335,70423449,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564421338074811280,,1564421338,68873815,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564421339478902367,,1564421339,472541582,"[0, 1, 1, 0, 0, 0, 0, 3]",13,23
1564421340917666350,,1564421340,910824683,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564421342647674424,,1564421342,640144816,"[0, 1, 0, 0, 0, 1, 0, 0]",9,35
1564421346594477090,,1564421346,587875268,"[0, 1, 1, 0, 0, 0, 0, 0]",4,7
1564421348001248471,,1564421347,995864535,"[0, 1, 1, 0, 0, 0, 1, 1]",11,71
