task_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_model,human_observables,Human Detected,Looked Around,Succesfull Grasp,Failed Grasp,Warned Robot,Stood Idle
9,1,"""OBSERVATION""",,1583416951,143156220,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,2,"""OBSERVATION""",,1583416952,744261920,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
9,3,"""OBSERVATION""",,1583416954,966431902,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,4,"""OBSERVATION""",,1583416956,732682239,'',"[True, False, False, True, False, True]",1,0,0,1,0,1
9,5,"""OBSERVATION""",,1583416958,97676489,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,6,"""OBSERVATION""",,1583416959,531039635,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
9,7,"""OBSERVATION""",,1583416961,447284350,'',"[True, False, False, True, False, False]",1,0,0,1,0,0
9,8,"""OBSERVATION""",,1583416962,790336576,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,9,"""OBSERVATION""",,1583416964,448469970,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
9,10,"""OBSERVATION""",,1583416966,337990015,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,11,"""OBSERVATION""",,1583416967,635660201,'',"[True, False, False, True, False, True]",1,0,0,1,0,1
9,12,"""OBSERVATION""",,1583416969,333479542,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,13,"""OBSERVATION""",,1583416970,647666383,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
9,14,"""OBSERVATION""",,1583416972,866736355,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,15,"""OBSERVATION""",,1583416974,169424032,'',"[True, False, False, True, False, True]",1,0,0,1,0,1
9,16,"""OBSERVATION""",,1583416975,919239120,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,17,"""OBSERVATION""",,1583416978,885620240,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,18,"""OBSERVATION""",,1583416981,897823266,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,19,"""OBSERVATION""",,1583416983,257307099,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
9,20,"""OBSERVATION""",,1583416984,912357185,'',"[True, False, False, True, False, False]",1,0,0,1,0,0
9,21,"""OBSERVATION""",,1583416986,257167533,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,22,"""OBSERVATION""",,1583416988,6505976,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,23,"""OBSERVATION""",,1583416989,917571239,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
9,24,"""OBSERVATION""",,1583416998,146204935,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,25,"""OBSERVATION""",,1583416999,449569739,'',"[True, False, False, True, False, True]",1,0,0,1,0,1
9,26,"""OBSERVATION""",,1583417000,784701458,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,27,"""OBSERVATION""",,1583417002,568647650,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,28,"""OBSERVATION""",,1583417006,437989842,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,29,"""OBSERVATION""",,1583417007,857484624,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
9,30,"""OBSERVATION""",,1583417010,844061935,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
9,31,"""OBSERVATION""",,1583417013,986335505,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,32,"""OBSERVATION""",,1583417015,277839207,'',"[True, False, False, True, False, True]",1,0,0,1,0,1
9,33,"""OBSERVATION""",,1583417017,43859769,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,34,"""OBSERVATION""",,1583417020,63569309,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,35,"""OBSERVATION""",,1583417023,110435654,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,36,"""OBSERVATION""",,1583417026,168751114,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,37,"""OBSERVATION""",,1583417029,160737197,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,38,"""OBSERVATION""",,1583417032,184803486,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,39,"""OBSERVATION""",,1583417035,271411149,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,40,"""OBSERVATION""",,1583417038,286970530,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,41,"""OBSERVATION""",,1583417054,924553900,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,42,"""OBSERVATION""",,1583417056,329592728,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,43,"""OBSERVATION""",,1583417057,691929500,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
9,44,"""OBSERVATION""",,1583417060,748149575,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,45,"""OBSERVATION""",,1583417062,41882142,'',"[True, False, False, True, False, True]",1,0,0,1,0,1
9,46,"""OBSERVATION""",,1583417063,381520426,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
9,47,"""OBSERVATION""",,1583417065,998175243,'',"[True, False, True, False, False, False]",1,0,1,0,0,0
9,48,"""OBSERVATION""",,1583417067,404061939,'',"[True, False, False, False, False, True]",1,0,0,0,0,1
9,49,"""OBSERVATION""",,1583417069,450317932,'',"[True, False, False, True, False, True]",1,0,0,1,0,1
