rosbagTimestamp,task_id,subtask_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count_subtask,real_obs_received,real_obs_received_array,obs_with_noise,human_observables,mapped_observation_pomdp,mapped_observation_raw,robot_model,immediate_reward,total_disc_reward,robot_belief,tray_update_received_time,secs,nsecs,subtask_status,who_succeeded_subtask,subtask_duration,failed_subtasks,successful_subtasks,percentage_successful_subtasks,task_status,task_duration,who_succeeded_task,warnings_count_task,successful_tasks_cnt,failed_tasks_cnt,percentage_successful_tasks
1584374297989146719,12,0,0,"""MANAGER""",,1584374297,988933875,'',,0,0,'','','',False,0,'',[],'',[],0,0,"""quick_takeOneReasses_reckless.pomdpx""",'','',[],,0,0,'','',0.0,0,0,0.0,"""START""",0.0,'',0,0,0,0.0
1584374308577906176,12,1,4,"""SENSOR""",,1584374308,577474915,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""0.000000""",[],,1584374307,119706818,"""fail""","""HUMAN""",9.128347483,1,0,0.0,'',9.128347483,'',0,0,0,nan
1584374318414548143,12,2,4,"""SENSOR""",,1584374318,414171771,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""0.000000""",[],,1584374318,406803823,"""ROBOT SUCCEEDED""","""ROBOT""",11.290147281,1,1,50.0,'',20.418494764,'',0,0,0,nan
1584374325271992835,12,3,6,"""SENSOR""",,1584374325,271642054,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-5.104579""",[],,1584374323,813432870,"""fail""","""HUMAN""",5.403423921,2,1,33.3333333333,'',25.821918685,'',0,0,0,nan
1584374335196544076,12,4,7,"""SENSOR""",,1584374335,196176360,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""-4.984579""",[],,1584374335,188979423,"""ROBOT SUCCEEDED""","""ROBOT""",11.378747259,2,2,50.0,'',37.200665944,'',0,0,0,nan
1584374351577099481,12,5,9,"""SENSOR""",,1584374351,576788133,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""1.015421""",[],,1584374351,569625963,"""ROBOT SUCCEEDED""","""ROBOT""",16.380646963,2,3,60.0,'',53.581312907,'',0,0,0,nan
1584374358469297207,12,6,11,"""SENSOR""",,1584374358,469170455,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""1.015421""",[],,1584374357,14539027,"""fail""","""HUMAN""",5.441473953,3,3,50.0,'',59.02278686,'',0,0,0,nan
1584374368363754598,12,7,11,"""SENSOR""",,1584374368,363383453,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""1.015421""",[],,1584374368,356077319,"""ROBOT SUCCEEDED""","""ROBOT""",11.344975904,3,4,57.1428571429,'',70.367762764,'',0,0,0,nan
1584374377954127889,12,8,14,"""SENSOR""",,1584374377,953983924,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""7.135421""",[],,1584374376,559688562,"""success""","""HUMAN""",8.194753389,3,5,62.5,'',78.562516153,'',0,0,0,nan
1584374400438366923,12,9,20,"""SENSOR""",,1584374400,438149183,'',,0,0,'','','',False,4,'',[],'',[],0,0,'','',"""1.857850""",[],,1584374394,28891166,"""success""","""HUMAN""",17.471251334,3,6,66.6666666667,'',96.033767487,'',0,0,0,nan
1584374406217357416,12,10,21,"""SENSOR""",,1584374406,217204861,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""6.471985""",[],,1584374404,855138891,"""fail""","""HUMAN""",10.826435927,4,6,60.0,'',106.860203414,'',0,0,1,0.0
1584374406217399701,12,10,21,"""MANAGER-TASK-DONE""",,1584374406,217272902,'',,0,0,'','','',False,0,'',[],'',[],0,0,'','',"""6.471985""",[],,1584374404,855138891,'','',0.0,4,6,60.0,"""fail""",106.860203414,'',4,0,1,0.0
