rosbagTimestamp,task_id,subtask_id,step_count,who_reports,update_received_time,update_secs,update_nsecs,human_model,action_taken_time,acted_secs,acted_nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count_subtask,real_obs_received,real_obs_received_array,obs_with_noise,human_observables,mapped_observation_pomdp,mapped_observation_raw,robot_model,immediate_reward,total_disc_reward,robot_belief,tray_update_received_time,secs,nsecs,subtask_status,who_succeeded_subtask,subtask_duration,failed_subtasks,successful_subtasks,percentage_successful_subtasks,task_status,task_duration,who_succeeded_task,warnings_count_task,successful_tasks_cnt,failed_tasks_cnt,percentage_successful_tasks
1600776583126847533,10,1,1,"""ROBOT""",,1600776583,108346542,'',,1600776582,976490186,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal_exp1.pomdpx""",0.0,0.0,[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1600776584517507702,10,1,2,"""ROBOT""",,1600776584,501321501,'',,1600776584,484435038,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal_exp1.pomdpx""",0.0,0.0,[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1600776586433700174,10,1,3,"""ROBOT""",,1600776586,415993796,'',,1600776586,400747118,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal_exp1.pomdpx""",0.0,0.0,[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1600776588098811696,10,2,4,"""ROBOT""",,1600776588,86673931,'',,1600776587,821627003,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal_exp1.pomdpx""",6,5.20875319948032,[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1600776589746718784,10,2,5,"""ROBOT""",,1600776589,731211617,'',,1600776589,470239206,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal_exp1.pomdpx""",0.0,5.20875319948032,[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1600776591240357912,10,2,6,"""ROBOT""",,1600776591,229693231,'',,1600776591,118068816,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal_exp1.pomdpx""",0.0,5.20875319948032,[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1600776591240357912,10,2,7,"""ROBOT""",,1600776591,229693231,'',,1600776591,118068816,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal_exp1.pomdpx""",0.0,5.20875319948032,[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1600776594408623356,10,3,8,"""ROBOT""",,1600776594,396412193,'',,1600776594,13472446,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal_exp1.pomdpx""",6,10.523807484664319,[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1600776596161794107,10,3,9,"""ROBOT""",,1600776596,149188435,'',,1600776595,788965854,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal_exp1.pomdpx""",0.0,10.523807484664319,[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
1600776597640619922,10,3,10,"""ROBOT""",,1600776597,628662713,'',,1600776597,544821395,"""idle""","""HumanDoingOk""","""HumanDoingOk""",True,0,'',[],'',[],0,0,"""proactive_average_takeOneReasses_loyal_exp1.pomdpx""",0.0,10.523807484664319,[],,0,0,'','',0.0,0,0,0.0,'',0.0,'',0,0,0,0.0
